Constituency,Name,Political Party,Votes
BUIKWE COUNTY SOUTH,BAYIGGA,DP,17221
BUIKWE COUNTY SOUTH,SSEKYEMA,INDEPENDENT,1095
KYAKA NORTH COUNTY,MUKAMA,FDC,1569
KYAKA NORTH COUNTY,BIRUNGI,INDEPENDENT,9180
KYAKA NORTH COUNTY,ASABA,NRM,29145
KYAKA SOUTH COUNTY,BIRIHARIIWE,INDEPENDENT,12262
KYAKA SOUTH COUNTY,KAFUUZI,NRM,19572
KYAKA SOUTH COUNTY,NGABU,INDEPENDENT,5112
KYAKA SOUTH COUNTY,MUGUMYA,INDEPENDENT,473
OTUKE COUNTY,OGWAL,INDEPENDENT,1659
OTUKE COUNTY,ACOM,NRM,11409
OTUKE COUNTY,AADAM,INDEPENDENT,1589
OTUKE COUNTY,ENEN,UPC,2582
OTUKE COUNTY,OKU,INDEPENDENT,2334
OTUKE COUNTY,ATUBO,INDEPENDENT,4340
OTUKE COUNTY,OMARA,INDEPENDENT,5569
OKORO COUNTY,ALIPANGA,INDEPENDENT,5260
OKORO COUNTY,KUMIRA,INDEPENDENT,4424
OKORO COUNTY,D'UJANGA,NRM,20714
OKORO COUNTY,OPIRA,FDC,3187
ORA COUNTY,ALIFA,INDEPENDENT,8945
ORA COUNTY,ONEGIU,NRM,18869
ORA COUNTY,CANUGORA,FDC,2041
MOROTO COUNTY,OBUA?OGWAL,INDEPENDENT,1306
MOROTO COUNTY,ZIEGLER OJEDE,INDEPENDENT,133
MOROTO COUNTY,OLEDO,UPC,1911
MOROTO COUNTY,NEDI TOM,INDEPENDENT,510
MOROTO COUNTY,OGWAL,INDEPENDENT,597
MOROTO COUNTY,AMUGE REBECCA,NRM,12885
MOROTO COUNTY,OKWIR,INDEPENDENT,15087
BULAMBULI COUNTY,MASABA,INDEPENDENT,4357
BULAMBULI COUNTY,KATENYA,INDEPENDENT,1598
BULAMBULI COUNTY,WOTSUNA,INDEPENDENT,2775
BULAMBULI COUNTY,TABALI,INDEPENDENT,4434
BULAMBULI COUNTY,BURUNDO,NRM,5682
BULAMBULI COUNTY,WABULAKA,INDEPENDENT,138
ELGON COUNTY,MASABA,FDC,335
ELGON COUNTY,NANGOLI,INDEPENDENT,7813
ELGON COUNTY,WONASOLO,INDEPENDENT,376
ELGON COUNTY,WAMUKUYU,NRM,13497
ELGON COUNTY,NASAWALI,INDEPENDENT,3066
BUVUMA ISLANDS COUNTY,BAZIBU,UFA,177
BUVUMA ISLANDS COUNTY,SSEMBAJJWE,DP,359
BUVUMA ISLANDS COUNTY,MIGADDE,NRM,12908
BUVUMA ISLANDS COUNTY,NSUBUGA,INDEPENDENT,9809
KIBANDA SOUTH COUNTY,ODUR,NRM,8900
KIBANDA SOUTH COUNTY,ATENYI KARUBANGA,INDEPENDENT,7277
KIBANDA SOUTH COUNTY,ABOLA,FDC,1706
KIBANDA SOUTH COUNTY,WATAKA,INDEPENDENT,556
KIBANDA NORTH COUNTY,MUHUMUZA,FDC,1305
KIBANDA NORTH COUNTY,TABANI,NRM,24658
KIBANDA NORTH COUNTY,OTADA,INDEPENDENT,16118
NTWETWE COUNTY,MUSISI,INDEPENDENT,9857
NTWETWE COUNTY,SSEKIZIYIVU,FDC,1086
NTWETWE COUNTY,SSEBIKAALI,NRM,16237
BUTEMBA COUNTY,MANIRAGUHA,INDEPENDENT,872
BUTEMBA COUNTY,BINGI,INDEPENDENT,6478
BUTEMBA COUNTY,KAMUSIIME,NRM,16178
BUTEMBA COUNTY,SSEMUGABA,INDEPENDENT,10075
LUUKA NORTH COUNTY,BABIRYE,INDEPENDENT,391
LUUKA NORTH COUNTY,BAGOOLE,INDEPENDENT,15319
LUUKA NORTH COUNTY,KYOBE,NRM,13526
LUUKA NORTH COUNTY,MPOOYA,FDC,280
LUUKA NORTH COUNTY,BAKAKI,INDEPENDENT,83
LUUKA SOUTH COUNTY,KAZUNGU,FDC,3168
LUUKA SOUTH COUNTY,BAHATI,INDEPENDENT,1721
LUUKA SOUTH COUNTY,MWASE,INDEPENDENT,2001
LUUKA SOUTH COUNTY,KISA,NRM,23176
LUUKA SOUTH COUNTY,BWANA,INDEPENDENT,500
BUKOOLI SOUTH COUNTY,OUMA,FDC,20987
BUKOOLI SOUTH COUNTY,OCHIENG,INDEPENDENT,0
BUKOOLI SOUTH COUNTY,MAYENDE,NRM,23410
BUKOOLI ISLAND COUNTY,OUMA,NRM,5310
BUKOOLI ISLAND COUNTY,OKEYOH,INDEPENDENT,4329
BUKOOLI ISLAND COUNTY,NAKYEMA,INDEPENDENT,2313
NTOROKO COUNTY,ISANDE,FDC,1850
NTOROKO COUNTY,RWEMULIKYA,NRM,11375
NTOROKO COUNTY,BAHINDUKA,INDEPENDENT,7682
KASILO COUNTY,OKUPA,FDC,18137
KASILO COUNTY,OWANYI,NRM,10852
KASILO COUNTY,OJIIT,INDEPENDENT,5787
SERERE COUNTY,OPOLOT,INDEPENDENT,2666
SERERE COUNTY,ODONGO,INDEPENDENT,948
SERERE COUNTY,OPIO,UPC,0
SERERE COUNTY,OKABE,NRM,23949
SERERE COUNTY,MUKHALU,INDEPENDENT,564
SERERE COUNTY,OCHOLA,FDC,18091
BUKOMANSIMBI NORTH COUNTY,SSERWADA,INDEPENDENT,3833
BUKOMANSIMBI NORTH COUNTY,YIGA,DP,4461
BUKOMANSIMBI NORTH COUNTY,KIMBUGWE,INDEPENDENT,79
BUKOMANSIMBI NORTH COUNTY,LUBYAYI,INDEPENDENT,5947
BUKOMANSIMBI NORTH COUNTY,NAMBALIRWA,INDEPENDENT,332
BUKOMANSIMBI NORTH COUNTY,BULEGEYA,INDEPENDENT,278
BUKOMANSIMBI NORTH COUNTY,ASUMAN,INDEPENDENT,348
BUKOMANSIMBI NORTH COUNTY,KATUSHABE,NRM,8250
BUKOMANSIMBI SOUTH COUNTY,KIYINGI,DP,10813
BUKOMANSIMBI SOUTH COUNTY,BIRIMUKANDONDA,INDEPENDENT,291
BUKOMANSIMBI SOUTH COUNTY,NALWANGA,INDEPENDENT,349
BUKOMANSIMBI SOUTH COUNTY,KAGIMU,NRM,10031
BUTAMBALA COUNTY,MUWANGA,DP,18273
BUTAMBALA COUNTY,KASULE,FDC,530
BUTAMBALA COUNTY,BALIKUDDEMBE,INDEPENDENT,317
BUTAMBALA COUNTY,FAISAL,NRM,13676
KALUNGU COUNTY EAST,KIMBOWA,DP,2079
KALUNGU COUNTY EAST,LULE,INDEPENDENT,12340
KALUNGU COUNTY EAST,SSEMPIJJA,NRM,14778
KALUNGU COUNTY WEST,SSEBUNYA,FDC,363
KALUNGU COUNTY WEST,MUGAGGA,NRM,10633
KALUNGU COUNTY WEST,SSEWUNGU,DP,13376
KALUNGU COUNTY WEST,KISEKKA,INDEPENDENT,498
SHEEMA COUNTY NORTH,TUMWESIGYE,NRM,36700
SHEEMA COUNTY NORTH,BONGONZYA,INDEPENDENT,1168
SHEEMA COUNTY NORTH,MWEBESA,INDEPENDENT,6872
SHEEMA COUNTY NORTH,AINOMUGISHA,FDC,2246
SHEEMA COUNTY NORTH,KAREMIRE,INDEPENDENT,2340
SHEEMA COUNTY SOUTH,RURANGARANGA,INDEPENDENT,752
SHEEMA COUNTY SOUTH,ARINAITWE,FDC,1836
SHEEMA COUNTY SOUTH,KAMUNTU,NRM,19948
SHEEMA COUNTY SOUTH,MUHABWE,INDEPENDENT,11021
KIBUKU COUNTY,KAYAMA,FDC,396
KIBUKU COUNTY,KINOBERE,INDEPENDENT,14391
KIBUKU COUNTY,KINTU,INDEPENDENT,111
KIBUKU COUNTY,KAMBA,NRM,12297
KABWERI COUNTY,KAYALE,INDEPENDENT,504
KABWERI COUNTY,GONAHASA,FDC,12115
KABWERI COUNTY,MOITI,INDEPENDENT,8860
KABWERI COUNTY,MUGOLE,NRM,9726
KOLE SOUTH COUNTY,OKORI,FDC,503
KOLE SOUTH COUNTY,ALULA,NRM,12714
KOLE SOUTH COUNTY,EBIL,UPC,5867
KOLE SOUTH COUNTY,OCEN,INDEPENDENT,15784
KOLE NORTH COUNTY,OKELLO,NRM,13716
KOLE NORTH COUNTY,ODONGO,FDC,3749
KOLE NORTH COUNTY,OBUAKOL,UPC,4558
KOLE NORTH COUNTY,OKWIR,INDEPENDENT,12183
KWEEN COUNTY,CHEMASWET,INDEPENDENT,11995
KWEEN COUNTY,MUSOBO,INDEPENDENT,450
KWEEN COUNTY,MANGUSHO,NRM,15713
KWEEN COUNTY,CHEMUSTO,FDC,1850
BUKOTO COUNTY MID?WEST,SEJJOBA,INDEPENDENT,13732
BUKOTO COUNTY MID?WEST,KASOZI,NRM,17023
BUKOTO COUNTY MID?WEST,YIGA,DP,728
BUKOTO COUNTY WEST,KITATYA,NRM,11299
BUKOTO COUNTY WEST,SSEWANDIGI,INDEPENDENT,6120
BUKOTO COUNTY WEST,KWEHANGANA,INDEPENDENT,562
BUKOTO COUNTY WEST,KASULE,INDEPENDENT,315
BUKOTO COUNTY WEST,YIGA,FDC,1576
BUKOTO COUNTY WEST,MUTEBI,INDEPENDENT,6242
BUKOTO COUNTYSOUTH,NAKABIRA,INDEPENDENT,2955
BUKOTO COUNTYSOUTH,SSENTAMU,FDC,1546
BUKOTO COUNTYSOUTH,MBABAALI,NRM,14410
BUKOTO COUNTYSOUTH,BIREKERAAWO,DP,6296
RUHINDA COUNTY,KARUHANGA,FDC,1089
RUHINDA COUNTY,MUGABEKAHONDA,NRM,26172
RUHINDA COUNTY,TUGUME,INDEPENDENT,189
RUHINDA COUNTY,MUHANGI,INDEPENDENT,1159
RUHINDA COUNTY,OTAFIIRE,INDEPENDENT,17424
BOKORA COUNTY,NGOYA,INDEPENDENT,12390
BOKORA COUNTY,ACHIA,NRM,19268
NGORA COUNTY,ISAMAT,INDEPENDENT,11433
NGORA COUNTY,EKEMU,INDEPENDENT,352
NGORA COUNTY,ABALA,NRM,19121
NGORA COUNTY,OKURUT,FDC,10513
NGORA COUNTY,AMEGA,INDEPENDENT,769
NGORA COUNTY,OPIO,INDEPENDENT,964
NGORA COUNTY,ONGOLE,INDEPENDENT,625
BUHWEJU COUNTY,BIRAARO,NRM,20175
BUHWEJU COUNTY,MWIJUKYE,FDC,26396
NWOYA COUNTY,OKELLO,DP,3126
NWOYA COUNTY,OOLA,INDEPENDENT,1477
NWOYA COUNTY,OKUMU,INDEPENDENT,1489
NWOYA COUNTY,OYET,FDC,8280
NWOYA COUNTY,OPIO,NRM,4598
NWOYA COUNTY,AWANY,INDEPENDENT,4456
NWOYA COUNTY,ABUKHA,INDEPENDENT,924
AGAGO COUNTY,KOMAKECH,FDC,2959
AGAGO COUNTY,OKIDI,DP,1151
AGAGO COUNTY,LAGEN,NRM,11541
AGAGO COUNTY,OTTO,INDEPENDENT,15281
AGAGO COUNTY,OKIDI,INDEPENDENT,3147
AGAGO NORTH COUNTY,OJERA,INDEPENDENT,1984
AGAGO NORTH COUNTY,OKOT,NRM,10420
AGAGO NORTH COUNTY,OGENGA,FDC,14079
BUNYARUGURU COUNTY,CADET,INDEPENDENT,7731
BUNYARUGURU COUNTY,TWAREBIREHO,INDEPENDENT,267
BUNYARUGURU COUNTY,TWESIGYE,NRM,16002
BUNYARUGURU COUNTY,OWOMUGISHA,FDC,672
KATERERA COUNTY,AMPAIRE,FDC,347
KATERERA COUNTY,KATOTO,NRM,8983
KATERERA COUNTY,AHIMBISIBWE,INDEPENDENT,4237
KATERERA COUNTY,KATO,INDEPENDENT,8465
