KABERAMAIDO,,NRM,Directly Elected MP
COUNTY,,,
KALAKI COUNTY,,NRM,Directly Elected MP
,,,
,,FDC,District Woman
,,,Representative
KINKIZI COUNTY,,NRM,Directly Elected MP
EAST,,,
KINKIZI COUNTY,,NRM,Directly Elected MP
WEST,,,
,,NRM,District Woman
,,,Representative
CHEKWII COUNTY,,NRM,Directly Elected MP
(KADAM),,,
PIAN COUNTY,,NRM,Directly Elected MP
,,Independent,District Woman
,,,Representative
KIOGA COUNTY,,"NRM
Independent","Directly Elected MP
District Woman Representative"
AMURIA COUNTY,,NRM,Directly Elected MP
KAPELEBYONG,,NRM,Directly Elected MP
COUNTY,,,
,,NRM,District Woman
,,,Representative
KONGASIS COUNTY,,"NRM
NRM","Directly Elected MP
District Woman Representative"
BUNYOLE EAST,,NRM,Directly Elected MP
COUNTY,,,
BUNYOLE WEST,,NRM,Directly Elected MP
COUNTY,,,
,,NRM,District Woman
,,,Representative
IBANDA COUNTY,,NRM,Directly Elected MP
NORTH,,,
IBANDA COUNTY,,NRM,Directly Elected MP
SOUTH,,,
,,NRM,District Woman Representative
BUKANGA COUNTY,,NRM,Directly Elected MP
ISINGIRO COUNTY,,NRM,Directly Elected MP
NORTH,,,
ISINGIRO COUNTY,,NRM,Directly Elected MP
SOUTH,,,
,,NRM,District Woman
,,,Representative
DODOTH EAST,,NRM,Directly Elected MP
COUNTY,,,
DODOTH WEST,,NRM,Directly Elected MP
COUNTY,,,
,,Independent,District Woman
,,,Representative
BULAMOGI COUNTY,,"Independent
NRM","Directly Elected MP
District Woman Representative"
KAZO COUNTY,,NRM,Directly Elected MP
,,,
NYABUSHOZI,,NRM,Directly Elected MP
COUNTY,,,
,,NRM,District Woman
,,,Representative
KOBOKO COUNTY,,"NRM
NRM","Directly Elected MP
District Woman Representative"
BUBULO COUNTY,,NRM,Directly Elected MP
WEST,,,
BUBULO COUNTY,,NRM,Directly Elected MP
EAST,,,
,,NRM,District Woman
,,,Representative
"BUSUJJU COUNTY
MITYANA COUNTY NORTH
MITYANA COUNTY SOUTH",,"NRM NRM
Independent","Directly Elected MP
Directly Elected MP Directly Elected MP"
,,NRM,District Woman Representative
NAKASEKE SOUTH,,NRM,Directly Elected MP
COUNTY,,,
NAKASEKE NORTH,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
LABWOR COUNTY,,"NRM
NRM","Directly Elected MP
District Woman Representative"
KILAK COUNTY,,"Independent
NRM","Directly Elected MP
District Woman Representative"
BUDAKA COUNTY,,Independent,Directly Elected MP
IKI-IKI COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
BULIISA COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
DOKOLO COUNTY,,"NRM
FDC","Directly Elected MP
District Woman Representative"
BUSIKI COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
OYAM COUNTY,,UPC,Directly Elected MP
NORTH,,,
OYAM COUNTY,,UPC,Directly Elected MP
SOUTH,,,
,,UPC,District Woman
,,,Representative
MARACHA COUNTY,,Independent,Directly Elected MP
,,NRM,District Woman Representative
MANJIYA COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
BUKEDEA COUNTY,,NRM,Directly Elected MP
,,,
,,NRM,District Woman
,,,Representative
KABULA COUNTY,,"NRM
Independent","Directly Elected MP
District Woman Representative"
UPE COUNTY,,"NRM
NRM","Directly Elected MP
District Woman Representative"
BUIKWE COUNTY,,NRM,Directly Elected MP
NORTH,,,
BUIKWE COUNTY,,NRM,Directly Elected MP
WEST,,,
BUIKWE COUNTY,,DP,Directly Elected MP
SOUTH,,,
,,NRM,District Woman
,,,Representative
BUDIOPE WEST,,NRM,Directly Elected MP
COUNTY,,,
BUDIOPE EAST,,NRM,Directly Elected MP
COUNTY,,,
,,NRM,District Woman
,,,Representative
KYAKA COUNTY,,NRM,Directly Elected MP
KYAKA COUNTY,,,
KYAKA COUNTY,,NRM,District Woman
KYAKA COUNTY,,,Representative
LAMWO COUNTY,,NRM,Directly Elected MP
LAMWO COUNTY,,,
LAMWO COUNTY,,NRM,District Woman
LAMWO COUNTY,,,Representative
OTUKE COUNTY,,UPC,Directly Elected MP
OTUKE COUNTY,NYAKECHO OKWENYE ANNET,NRM,District Woman Representative
