Constituency,Political Party,Name,Votes
KWANIA COUNTY,NRM,AYOO TONNY,"14,981"
KWANIA COUNTY,INDEPENDENT,MAKMOT HENRY MILTON BONIMA,"6,195"
KWANIA COUNTY,INDEPENDENT,OGWAL EMMANUEL AGWENO,630
KWANIA COUNTY,FDC,OJOK ISAAC,536
KWANIA COUNTY,INDEPENDENT,ANOKBONGO WILLY WASHINGTON,"4,556"
KWANIA COUNTY,UPC,OGWAL GEOFFREY ALEX,"9,882"
MARUZI COUNTY,INDEPENDENT,OBURA GEORFFREY KODJO,"2,294"
MARUZI COUNTY,UFA,OMONGO NDUNGU,279
MARUZI COUNTY,NRM,AKAKI AYUMU JOVINO,"9,448"
MARUZI COUNTY,UPC,AKORA MAXWELL EBONG PATRICK,"24,598"
ARUA MUNICIPALITY,UPC,CEMARI NELSON,81
ARUA MUNICIPALITY,PPP,ASEGA HABIB,148
ARUA MUNICIPALITY,FDC,ATAKO A.F. AMINA,"1,216"
ARUA MUNICIPALITY,INDEPENDENT,AKBAR HUSSEIN GODI,0
ARUA MUNICIPALITY,DP,LEMERIGA FADHIL KUJO,51
ARUA MUNICIPALITY,NRM,AJEDRA GABRIEL GADISON ARIDRU,"8,106"
ARUA MUNICIPALITY,INDEPENDENT,BUGA MATATA YASIN,398
ARUA MUNICIPALITY,INDEPENDENT,ALEKUA JA'AFAR,"5,590"
ARUA MUNICIPALITY,INDEPENDENT,ADUTIA DOBAYO MALLON,96
AYIVU COUNTY,NRM,DRAVILLE BEN,"16,453"
AYIVU COUNTY,FDC,ATIKU BENARD,"18,496"
AYIVU COUNTY,UPC,ETUKIBO MOSES,"1,609"
AYIVU COUNTY,INDEPENDENT,ANGUFIRU MARGRET,"4,312"
MADI-OKOLLO COUNTY,INDEPENDENT,OGAMA ALLI ISMAIL,"4,495"
MADI-OKOLLO COUNTY,INDEPENDENT,EZALE ABUBAKER,373
MADI-OKOLLO COUNTY,NRM,DRITO MARTIN ANDI,"12,657"
MADI-OKOLLO COUNTY,FDC,ARUMADRI JOHN DRAZU,"6,858"
MADI-OKOLLO COUNTY,UPC,KAZA ADROA KELVIS,602
TEREGO COUNTY,INDEPENDENT,KAMURE PETER EDEMA,"2,009"
TEREGO COUNTY,UPC,ACEMAH HAROLD,513
TEREGO COUNTY,NRM,OBIGA MARIO KANIA,"20,507"
TEREGO COUNTY,FDC,WADRI KASSIANO EZATI,"23,863"
VURRA COUNTY,INDEPENDENT,OKUONZI SAM AGATRE,"14,522"
VURRA COUNTY,FDC,DRAMADRI LOUIS,"1,979"
VURRA COUNTY,DP,ALIMA SANTO,613
VURRA COUNTY,UPC,AGUPIO ANGOANDIA NICHOLAS SAMSON,472
BUGHENDERA COUNTY,FDC,SUNDAY APOLO,955
BUGHENDERA COUNTY,NRM,KIIZA ACROBERT MOSES,"9,591"
BUGHENDERA COUNTY,INDEPENDENT,MATTE JOSEPH SIBALINGHANA KIREGHEYA,"11,349"
BWAMBA COUNTY,INDEPENDENT,BAGUMA VIVIAN SIMOLLI,"13,822"
BWAMBA COUNTY,INDEPENDENT,MWESIGYE JOSHUA,"1,126"
BWAMBA COUNTY,NRM,KAMANDA COS BATARINGAYA,"16,527"
BUSHENYI -ISHAKA MUNICIPALITY,INDEPENDENT,MUTABAZI JULIUS,109
BUSHENYI -ISHAKA MUNICIPALITY,INDEPENDENT,NDUHURA MATHIUS,85
BUSHENYI -ISHAKA MUNICIPALITY,INDEPENDENT,MUGAMBAGYE MOSES TIBALYEBWA,79
BUSHENYI -ISHAKA MUNICIPALITY,INDEPENDENT,TAYEBWA ODO,"2,831"
BUSHENYI -ISHAKA MUNICIPALITY,INDEPENDENT,KIKURWE ISMAEL,98
BUSHENYI -ISHAKA MUNICIPALITY,INDEPENDENT,KATUNGWE R. FRANKLIN,"3,934"
BUSHENYI -ISHAKA MUNICIPALITY,NRM,BASAJJABALABA NASSER,"5,456"
BUSHENYI -ISHAKA MUNICIPALITY,INDEPENDENT,MUGERWA TIMOTHY YONNAH,263
IGARA COUNTY EAST,FDC,NUWABIINE MESHACH BAGARUKAYO,"5,090"
IGARA COUNTY EAST,NRM,MAWANDA MICHAEL MARANGA,"18,305"
IGARA COUNTY EAST,INDEPENDENT,MUNANURA YEYARD RUSHATUKA,"2,632"
IGARA COUNTY WEST,INDEPENDENT,AHABWE RUKIRA ELLY,"2,116"
IGARA COUNTY WEST,FDC,TUMWINE NABOTH,"2,276"
IGARA COUNTY WEST,NRM,MAGYEZI RAPHAEL,"25,741"
ASWA COUNTY,UPC,OOLA DAN ODIYA,571
ASWA COUNTY,INDEPENDENT,OKELLO PATRICK ONGUTI,"1,264"
ASWA COUNTY,FDC,OKUMU RONALD REAGAN,"15,542"
ASWA COUNTY,DP,OPOKA SIMON,"1,043"
ASWA COUNTY,PPP,ODOKONYERO CHARLES,145
ASWA COUNTY,NRM,OLWA JOHNSON AGARA BERMUDA,"5,341"
GULU MUNICIPALITY,INDEPENDENT,JOKKENE TIMOTHY,"4,375"
GULU MUNICIPALITY,FDC,ACIRE CHRISTOPHER,"10,265"
GULU MUNICIPALITY,INDEPENDENT,KOMAKECH HENRY KILAMA,708
GULU MUNICIPALITY,INDEPENDENT,OYAT FREDDY WATHUM DRINKWATER,157
GULU MUNICIPALITY,NRM,OCHORA MICHAEL,"4,061"
GULU MUNICIPALITY,DP,MWAKA EMMANUEL LUTUKUMOI,"7,420"
GULU MUNICIPALITY,UPC,OKEMA DENIS FRED,"3,465"
GULU MUNICIPALITY,INDEPENDENT,OKELLO SIMON PETER,93
GULU MUNICIPALITY,INDEPENDENT,PENYTOO DAVID ALEX OCENG,398
OMORO COUNTY,INDEPENDENT,KINYERA JULIUS WILFRED,321
OMORO COUNTY,INDEPENDENT,OLWENY HILLARY BANYA,350
OMORO COUNTY,INDEPENDENT,OKWERA CHARLES,272
OMORO COUNTY,INDEPENDENT,OKOT PETER,"4,377"
OMORO COUNTY,NRM,OULANYAH JACOB L'OKORI,"11,044"
OMORO COUNTY,UPC,OKECH-OKWEE YOLAM,762
OMORO COUNTY,PPP,MUGABE ROBERT,305
OMORO COUNTY,FDC,TOOLIT SIMON AKECHA,"9,088"
OMORO COUNTY,DP,ODONG LATEK STEPHEN,"3,803"
BUGAHYA COUNTY,FDC,WABYONA JACKSON RUGAMBWA,"8,543"
BUGAHYA COUNTY,PPP,AGABA RICHARD,401
BUGAHYA COUNTY,INDEPENDENT,TUMUSIIME SAMUEL,645
BUGAHYA COUNTY,INDEPENDENT,BYARUHANGA SAMUEL MILTON KYAKADONGO,"8,555"
BUGAHYA COUNTY,NRM,KIIZA RWEBEMBERA JAMES,"23,199"
BUHAGUZI COUNTY,FDC,BYAMUKAMA ONESMO,"1,253"
BUHAGUZI COUNTY,NRM,BIGIRWA JULIUS JUNJURA,"26,301"
BUHAGUZI COUNTY,INDEPENDENT,KYAHURWENDA TOMSON K. ABWOOLI,"15,033"
BUHAGUZI COUNTY,INDEPENDENT,TIBANYENDA JACKSON,882
BUHAGUZI COUNTY,INDEPENDENT,BYAKAGABA MICHEAL,131
HOIMA MUNICIPALITY,FDC,BAGUMA JOLLY PATRICK,"3,878"
HOIMA MUNICIPALITY,NRM,KAJURA HENRY MUGANWA,"13,235"
HOIMA MUNICIPALITY,UPC,KANDOLE SAFIYAN,204
HOIMA MUNICIPALITY,INDEPENDENT,BISOBORWA HILLARY,149
HOIMA MUNICIPALITY,INDEPENDENT,ISINGOMA PATRICK MWESIGWA,"8,068"
BUGWERI COUNTY,NRM,KIRUNDA KIVEJINJA ALI MUWAABE,"19,715"
BUGWERI COUNTY,UPC,MUYIRIMA SIMON,94
BUGWERI COUNTY,FDC,KATUNTU ABDU,"22,366"
BUGWERI COUNTY,LDT,MENYA MUHAMED NALUGODA,100
IGANGA MUNICIPALITY,INDEPENDENT,KAUDHA GRACE,408
IGANGA MUNICIPALITY,CP,NAIGUBYA TOMMY MUKWENDA,50
IGANGA MUNICIPALITY,FDC,MUDIOBOLE ABED NASSER,"6,652"
IGANGA MUNICIPALITY,NRM,MUGEMA PETER,"7,288"
IGANGA MUNICIPALITY,INDEPENDENT,MWIRI MED MOHAMED,987
KIGULU COUNTY NORTH,FDC,BADOGI ISMAIL WAGUMA,"5,851"
KIGULU COUNTY NORTH,NRM,BALIDDAWA EDWARD,"15,913"
KIGULU COUNTY NORTH,UFA,KAYIRIGI DENIS,308
KIGULU COUNTY NORTH,INDEPENDENT,WAGUMA SINANI WAKINYANKALI,"4,707"
KIGULU COUNTY SOUTH,FDC,BULAGALA MUSA KARIM,"3,229"
KIGULU COUNTY SOUTH,UFA,ISABIRYE PETER,318
KIGULU COUNTY SOUTH,INDEPENDENT,KALERA MAGERO MOSES,"2,269"
KIGULU COUNTY SOUTH,NRM,MUWUMA MILTON,"17,493"
BUTEMBE COUNTY,FDC,KIIRYA GRACE WANZALA,"16,019"
BUTEMBE COUNTY,NRM,DAUDI MIGEREKO,"16,833"
BUTEMBE COUNTY,INDEPENDENT,BASAKANA HANNINGTON,"2,101"
BUTEMBE COUNTY,INDEPENDENT,MUWULIZA DAVID,500
BUTEMBE COUNTY,INDEPENDENT,MUWANIKA MUKULU KENNETH,315
BUTEMBE COUNTY,INDEPENDENT,MITI MATTHIAS NGOBI,646
BUTEMBE COUNTY,INDEPENDENT,BANALYA NATHAN JOHN,930
JINJA MUNICIPALITY EAST,INDEPENDENT,DHIKUSOKA CRANIMER,378
JINJA MUNICIPALITY EAST,INDEPENDENT,MUDAGO ROGERS AGGREY,105
JINJA MUNICIPALITY EAST,INDEPENDENT,MUGABI CYRUS,296
JINJA MUNICIPALITY EAST,DP,WAISWA ALEX MUFUMBIRO,262
JINJA MUNICIPALITY EAST,FDC,MWIRU PAUL,"7,060"
JINJA MUNICIPALITY EAST,UPC,OSINDE OYO RITCHIE EMERY,127
JINJA MUNICIPALITY EAST,UFA,NAGAYA MOSES,135
JINJA MUNICIPALITY EAST,NRM,IGEME NABETA NATHAN SAMSON,"8,203"
JINJA MUNICIPALITY WEST,INDEPENDENT,WAISWA WILSON,0
JINJA MUNICIPALITY WEST,INDEPENDENT,KEZAALA NAJIB,136
JINJA MUNICIPALITY WEST,INDEPENDENT,KIBEDI ZAAKE WANUME,533
JINJA MUNICIPALITY WEST,INDEPENDENT,NAKENDO SALEH,51
JINJA MUNICIPALITY WEST,FDC,KASIGWA HARRY,"4,497"
JINJA MUNICIPALITY WEST,NRM,BALYEKU MOSES GRACE,"9,858"
JINJA MUNICIPALITY WEST,DP,TALUGENDE MOSES,168
KAGOMA COUNTY,INDEPENDENT,WAKUDUMIRA DAVID FRED,"1,102"
KAGOMA COUNTY,FDC,NABWISO FRANK WILBERFORCE B.,"11,469"
KAGOMA COUNTY,NRM,MBAGADHI FREDERICK NKAYI,"11,948"
KAGOMA COUNTY,INDEPENDENT,WALYOMU MUWANIKA MOSES,"10,819"
KAGOMA COUNTY,INDEPENDENT,BALABYE CHARLES,"2,187"
KAGOMA COUNTY,INDEPENDENT,KIRYA DANIEL,"1,108"
KAGOMA COUNTY,INDEPENDENT,BALIDAWA DANIEL,104
KAGOMA COUNTY,INDEPENDENT,GABULA FAROUK NADIOPE KALULU,366
KAGOMA COUNTY,INDEPENDENT,KINTU ALEX BRANDON,"2,208"
KAGOMA COUNTY,INDEPENDENT,TALUGENDE LAWRENCE,"5,263"
KABALE MUNICIPALITY,INDEPENDENT,BARYAYANGA ANDREW AJA,"7,868"
KABALE MUNICIPALITY,UFA,AHIMBISIBWE FRANCIS MOSES,61
KABALE MUNICIPALITY,NRM,RUKUNDO SERAPIO,"5,222"
KABALE MUNICIPALITY,FDC,MURUMBA WILFRED,"3,732"
RUBANDA COUNTY EAST,FDC,BAREBWOHA MBYEMERE THOMAS,979
RUBANDA COUNTY EAST,NRM,MUSASIZI HENRY ARIGANYIRA,"18,447"
RUBANDA COUNTY EAST,UPC,MBABAZI BENJAMIN ARTHUR,"5,937"
RUBANDA COUNTY WEST,INDEPENDENT,RUBAHIMBYA ALEKU INNOCENT,408
RUBANDA COUNTY WEST,INDEPENDENT,HABASA NELSON,"8,251"
RUBANDA COUNTY WEST,NRM,BANYENZAKI HENRY,"23,106"
RUBANDA COUNTY WEST,FDC,KAFEEZA ALOYSIUS,"3,161"
RUKIGA COUNTY,DP,BASIIME WILBROAD,70
RUKIGA COUNTY,INDEPENDENT,GUMISIRIZA MEDDAD RWAMINYINYO,164
RUKIGA COUNTY,UFA,MUCUNGUNZI JOSHUA MUGABE,123
RUKIGA COUNTY,FDC,SABIITI JACK,"19,998"
RUKIGA COUNTY,NRM,KAKURU ADISON,"18,554"
NDORWA COUNTY WEST,NRM,BAHATI DAVID,Unopposed
NDORWA COUNTY EAST,UPC,RUKUNDO EMMANUEL BETEKIRE,"6,667"
NDORWA COUNTY EAST,FDC,BEINGANA  LEONARD TAAZA,"2,039"
NDORWA COUNTY EAST,NRM,NIWAGABA WILFRED,"23,484"
BURAHYA COUNTY,FDC,MUGABI CHRISTOPHER KAYONGA,"3,239"
BURAHYA COUNTY,NRM,KASAIJA STEPHEN KAGWERA,"37,814"
BURAHYA COUNTY,INDEPENDENT,RABWONI OKWIRI,"21,116"
FORT PORTAL MUNICIPALITY,NRM,RUHUNDA ALEX,"9,732"
FORT PORTAL MUNICIPALITY,INDEPENDENT,RUBONGOYA PATRICK,"1,997"
FORT PORTAL MUNICIPALITY,INDEPENDENT,KALIBA STEVEN,"7,013"
FORT PORTAL MUNICIPALITY,FDC,AKUGIZIBWE SOLOMON,309
BUNYANGABU COUNTY,INDEPENDENT,ATEGEKA JAMES,"5,016"
BUNYANGABU COUNTY,FDC,KATONGOLE STEVEN DICK,"3,288"
BUNYANGABU COUNTY,NRM,MWESIGE ADOLF,"36,175"
BUNYANGABU COUNTY,INDEPENDENT,ISINGOMA JOHN BAPTIST,822
BUJUMBA COUNTY,INDEPENDENT,NAKIMERA LYDIA KIZZA,650
BUJUMBA COUNTY,INDEPENDENT,SSEMAKULA RAJAB,"3,927"
BUJUMBA COUNTY,INDEPENDENT,SSENYONYI GERALD KATO,38
BUJUMBA COUNTY,DP,KAKOOZA JOSEPH HERMAN,11
BUJUMBA COUNTY,NRM,BADDA FRED,"4,089"
BUJUMBA COUNTY,PDP,OSINDE GODFREY,46
BUJUMBA COUNTY,FDC,KULAZIKULABE ANDREW,151
KYAMUSWA COUNTY,NRM,LWANGA TIMOTHY MUTEKANGA,"3,753"
KYAMUSWA COUNTY,INDEPENDENT,KABUUSU MOSES WAGABA,"3,436"
KYAMUSWA COUNTY,FDC,NSAMBA GREGORY,62
KYAMUSWA COUNTY,INDEPENDENT,SSEBALAMU RONALD HERBERT MUBIRU,11
MAKINDYE DIVISION WEST,NRM,KALEMA RICHARD,"21,490"
MAKINDYE DIVISION WEST,DP,KALLIBBALA RICHARD,"9,235"
MAKINDYE DIVISION WEST,JEEMA,KYANJO HUSSEIN SILMAN,"30,131"
MAKINDYE DIVISION WEST,PPD,MAGALA JAFAARI,"3,116"
MAKINDYE DIVISION WEST,UPC,BYAMAGERO S. A. M.,"1,219"
MAKINDYE DIVISION WEST,UFA,NALUBEGA SARAH ZAINA,"2,139"
MAKINDYE DIVISION WEST,INDEPENDENT,MUWANGA LUT,596
KAWEMPE DIVISION NORTH,NRM,KYAMBADDE JOHN ANDREW,"14,752"
KAWEMPE DIVISION NORTH,DP,SSEBAGALA ABDLARTIF SSENGENDO,"29,432"
KAWEMPE DIVISION NORTH,PPP,RUBAGUMYA CHARLES RUHARAZA,855
KAWEMPE DIVISION NORTH,SDP,SSEGIRINYA MUHAMMAD SSENGENDO,"2,244"
KAWEMPE DIVISION NORTH,INDEPENDENT,KIBIRIGE NASSER TAKUBA,"3,646"
KAWEMPE DIVISION NORTH,INDEPENDENT,MUYINDA NANNEMBA MARIA FRANCES,687
KAWEMPE DIVISION NORTH,INDEPENDENT,BWANIKA MUSA IBRAHIM,"1,061"
KAMPALA CENTRAL DIVISION,DP,YAWE EDDY SSENTAMU,"15,757"
KAMPALA CENTRAL DIVISION,NRM,NSEREKO MUHAMMAD,"25,140"
KAMPALA CENTRAL DIVISION,FDC,NUWAGABA JETHRO CHRISTOPHER,"4,420"
KAMPALA CENTRAL DIVISION,LDT,MAWANDA SULAIT,319
KAMPALA CENTRAL DIVISION,JEEMA,KIBIRIGE MUHAMMAD MAYANJA,"4,068"
KAMPALA CENTRAL DIVISION,INDEPENDENT,MUNAAWA KENNETH,484
KAMPALA CENTRAL DIVISION,PDP,KIVUMBI ERNEST,131
MAKINDYE DIVISION EAST,NRM,SSIMBWA JOHN,"16,714"
MAKINDYE DIVISION EAST,CP,NAMPIJJA SUSAN LUKYAMUZI,"6,612"
MAKINDYE DIVISION EAST,INDEPENDENT,KANYIKE SARAH SEBAGGALA,"8,766"
MAKINDYE DIVISION EAST,INDEPENDENT,KAMUHIRA SALIM,258
MAKINDYE DIVISION EAST,INDEPENDENT,KIMBUGWE HANNIFAH,676
MAKINDYE DIVISION EAST,INDEPENDENT,MUTAAWE DENNIS,440
MAKINDYE DIVISION EAST,INDEPENDENT,GANGADI AINEAS,221
MAKINDYE DIVISION EAST,INDEPENDENT,WALUSIMBI FREDRICH,552
MAKINDYE DIVISION EAST,INDEPENDENT,SSAKU ANTHONY KABUGO,726
MAKINDYE DIVISION EAST,INDEPENDENT,SERUNJOGI AHMED,343
MAKINDYE DIVISION EAST,UFA,LUKONGE YUSUF,607
MAKINDYE DIVISION EAST,FDC,KASOZI IBRAHIM BIRIBAWA,"5,824"
MAKINDYE DIVISION EAST,DP,LWANGA NAMUGERA SEBASTIANE,"2,198"
MAKINDYE DIVISION EAST,UPC,BOSSA JOSEPH F.,752
NAKAWA DIVISION,NRM,RUHINDI FREDRICK,"44,929"
NAKAWA DIVISION,DP,KAKANDE KENNETH PAUL,"20,919"
NAKAWA DIVISION,FDC,KABAZIGURUKA MICHAEL ANDREW,"23,009"
NAKAWA DIVISION,INDEPENDENT,BARIGAYOMWE ROGERS BIRUNGI,219
NAKAWA DIVISION,UFA,MATOVU RICHARD,614
NAKAWA DIVISION,INDEPENDENT,MUWONGE DANIEL,"1,117"
NAKAWA DIVISION,UPC,ODONGO GEOFFREY,"1,559"
RUBAGA DIVISION SOUTH,UFA,MUBI AZAALWA JOSEPH,274
RUBAGA DIVISION SOUTH,INDEPENDENT,BUKENYA HERBERT,"2,679"
RUBAGA DIVISION SOUTH,FIL,KAWOOYA ABDUL WAHAB,382
RUBAGA DIVISION SOUTH,DP,MAYANJA VINCENT PAUL,"2,964"
RUBAGA DIVISION SOUTH,CP,KEN-LUKYAMUZI JOHN,"39,408"
RUBAGA DIVISION SOUTH,NRM,MAYANJA MPIIMA FARIDAH,"13,969"
KAWEMPE DIVISION SOUTH,PDP,YAWE BRIAN,525
KAWEMPE DIVISION SOUTH,NRM,NAJJA TWAHA,"14,905"
KAWEMPE DIVISION SOUTH,FDC,KANYIKE WILLIAM,"12,100"
KAWEMPE DIVISION SOUTH,INDEPENDENT,NSUBUGA KIJJAMBU,"2,422"
KAWEMPE DIVISION SOUTH,INDEPENDENT,JEMBA ERISA KITANDWE,521
KAWEMPE DIVISION SOUTH,INDEPENDENT,KABUGO DITHAN,444
KAWEMPE DIVISION SOUTH,DP,SEBULIBA MUTUMBA RICHARD,"15,149"
RUBAGA DIVISION NORTH,SDP,LUBOWA HENRY,"2,031"
RUBAGA DIVISION NORTH,UFA,TAMALE SOLOMON ABEL,556
RUBAGA DIVISION NORTH,FDC,KIKONYOGO MN JOHN,"4,121"
RUBAGA DIVISION NORTH,PDP,SSEMPIJJA PATRICK KIWEESI,572
RUBAGA DIVISION NORTH,INDEPENDENT,KASIBANTE MOSES,"22,850"
RUBAGA DIVISION NORTH,DP,NAKIBUUKA MAXENCIA TAKIRAMBULE,"1,686"
RUBAGA DIVISION NORTH,INDEPENDENT,KISIGE ALLEN,872
RUBAGA DIVISION NORTH,INDEPENDENT,LWANGA ISAAC BYANGIRE,314
RUBAGA DIVISION NORTH,INDEPENDENT,KIBIRIGE BERNARD,3
RUBAGA DIVISION NORTH,NRM,KATONGOLE SINGH MARWAHA P.,"24,802"
BUGABULA COUNTY NORTH,FDC,MUTEBE FRANCIS,393
BUGABULA COUNTY NORTH,NRM,KIZIGE MOSES,"11,248"
BUGABULA COUNTY NORTH,INDEPENDENT,ALLEN ANDREW,"15,245"
BUGABULA COUNTY NORTH,INDEPENDENT,MAGIMBI JOHN SEBASTIAN,"1,666"
BUGABULA COUNTY NORTH,INDEPENDENT,LUKALU CAESAR KITAMIRIKE,453
BUGABULA COUNTY NORTH,UPC,IDYOBEOW MBABANI ALEX,68
BUGABULA COUNTY NORTH,INDEPENDENT,KABAALE MOSES,560
BUGABULA COUNTY SOUTH,UPC,ALIBAWA AYASI,68
BUGABULA COUNTY SOUTH,INDEPENDENT,KUWEREKA GEORGE,425
BUGABULA COUNTY SOUTH,INDEPENDENT,KIYINGI ASUMAN,"13,966"
BUGABULA COUNTY SOUTH,NRM,KIBALYA HENRY MAURICE,"11,510"
BUGABULA COUNTY SOUTH,FDC,SALAAM-MUSUMBA PROSCOVIA,"10,949"
BUZAAYA COUNTY,INDEPENDENT,MUZAAYA MUSA,"5,724"
BUZAAYA COUNTY,INDEPENDENT,MUSUMBA ISAAC ISANGA,"12,721"
BUZAAYA COUNTY,INDEPENDENT,KAPERE GEORGE,204
BUZAAYA COUNTY,FDC,MUKASA SOWEDI,577
BUZAAYA COUNTY,INDEPENDENT,MUGAYA PATRICK L,0
BUZAAYA COUNTY,INDEPENDENT,KITAMIRIKE BWAMIKI MICHAEL,216
BUZAAYA COUNTY,NRM,MUGABI MUZAALE MARTIN KISULE,"16,616"
TINGEY COUNTY,INDEPENDENT,SABILA HERBERT KAALE,"8,401"
TINGEY COUNTY,INDEPENDENT,SOYEKWO KENNETH,"2,050"
TINGEY COUNTY,NRM,CHEBROT STEPHEN CHEMOIKO,"15,017"
TINGEY COUNTY,FDC,MAIGUT ANDREW,758
TINGEY COUNTY,INDEPENDENT,MUSANI FRANK NEWMAN,"4,753"
BUKONJO COUNTY WEST,FDC,BIIRA KABANYORO LUCY,"20,281"
BUKONJO COUNTY WEST,NRM,KIYONGA CHRISPUS W. C. B.,"25,968"
BUKONZO COUNTY  EAST,PPP,KAHUNGU AMON PHILLY,"2,675"
BUKONZO COUNTY  EAST,FDC,BWAMBALE BIHANDE YOKASI,"19,511"
BUKONZO COUNTY  EAST,NRM,BUSINGE POLICE FRED,"19,268"
BUKONZO COUNTY  EAST,INDEPENDENT,KITHENDE KALYEBOGA APPOLLINARIS,"3,236"
BUSONGORA COUNTY NORTH,PPP,KULE STEPHEN O. MBIWA,775
BUSONGORA COUNTY NORTH,FDC,NZOGHU M. WILLIAM,"22,052"
BUSONGORA COUNTY NORTH,NRM,KYETUNDA MUHINDO ELIJAH,"19,046"
BUSONGORA COUNTY NORTH,INDEPENDENT,BASEMEZA METUSERA DAN MUTEBULI,"1,602"
BUSONGORA COUNTY SOUTH,INDEPENDENT,NKWATSIBWE KAJURA FESTO,50
BUSONGORA COUNTY SOUTH,DP,LUKUMBUKA BRIENS ROBERT,264
BUSONGORA COUNTY SOUTH,NRM,KAFUDA BOAZ,"9,615"
BUSONGORA COUNTY SOUTH,FDC,MBAJU JACKSON,"6,979"
BUSONGORA COUNTY SOUTH,INDEPENDENT,SIWAKO B. CONSTANT,"5,964"
KASESE MUNICIPALITY,FDC,BWAMBALE SYAHUKA JUNIOR MOSES,"5,433"
KASESE MUNICIPALITY,NRM,MBAHIMBA JAMES,"7,901"
KASESE MUNICIPALITY,JEEMA,MUSABINGO UMAR,502
KASESE MUNICIPALITY,UFA,ISINGOMA RAYMOND,76
KASESE MUNICIPALITY,INDEPENDENT,THEMBO GIDEON MUJUNGU,"3,362"
KASESE MUNICIPALITY,INDEPENDENT,MBAGUTA RONALD MUHWEZI,"3,836"
KASESE MUNICIPALITY,INDEPENDENT,ATEGEKE MOSES,640
BUGANGAIZI EAST COUNTY,INDEPENDENT,KASAANA WASHINGTON KAKEMBO ADYERI,663
BUGANGAIZI EAST COUNTY,INDEPENDENT,NSHEKALIMWE BENON,151
BUGANGAIZI EAST COUNTY,INDEPENDENT,AGABA AISA,"7,137"
BUGANGAIZI EAST COUNTY,NRM,BAKEINE MABEL LILLIAN KOMUGISHA,"11,423"
BUGANGAIZI WEST COUNTY,INDEPENDENT,BAINOMUGISHA SILVERIOUS,261
BUGANGAIZI WEST COUNTY,INDEPENDENT,MUHIMBO LUBEGA EDWARD EMMANUEL,"11,450"
BUGANGAIZI WEST COUNTY,NRM,KASIRIVU BALTAZAR KYAMANYWA ATWOOKI,"18,670"
BUYAGA EAST COUNTY,INDEPENDENT,ALINAITWE GIDEON,"1,647"
BUYAGA EAST COUNTY,NRM,BESISIRA IGNATIUS,"17,841"
BUYAGA EAST COUNTY,FDC,TOTEREBUKA BONIFACE,640
BUYAGA EAST COUNTY,LDT,KASANGAKI HAROUN RASHID,715
BUYAGA EAST COUNTY,DP,TUMWEBAZE THOMAS,488
BUYAGA EAST COUNTY,INDEPENDENT,MUSANA ERIC,"9,788"
BUYAGA WEST COUNTY,INDEPENDENT,TIBALEKA MARCEL,"10,416"
BUYAGA WEST COUNTY,FDC,KUGONZA SYLIVIA,496
BUYAGA WEST COUNTY,NRM,TINKASIIMIRE BARNABAS,"33,491"
BUYAGA WEST COUNTY,INDEPENDENT,TUMWESIGE PONSIANO,"1,262"
BUYANJA COUNTY,INDEPENDENT,ASIIMWE JUDE MAYANJA,816
BUYANJA COUNTY,NRM,KASAIJA MATIA,"15,748"
BUYANJA COUNTY,FDC,MIVULE FRANCIS BIRUNGI,384
BUYANJA COUNTY,INDEPENDENT,BAGUMA ISOKE MATIA,"10,276"
KIBOGA  EAST COUNTY,UFA,KIRABIRA HENRY,931
KIBOGA  EAST COUNTY,NRM,KABAJO JAMES KYEWALABYE,"31,869"
KIBOGA  EAST COUNTY,INDEPENDENT,SSEMAKULA SHADRACK,"2,723"
KIBOGA  EAST COUNTY,INDEPENDENT,KAGGWE MBUGA FRED,"1,822"
BUFUMBIRA COUNTY EAST,NRM,KWIZERA EDDIE WA GAHUNGU,"15,484"
BUFUMBIRA COUNTY EAST,FDC,BARIHIMA HABAKWIHA MATHIAS,390
BUFUMBIRA COUNTY EAST,INDEPENDENT,BUTORO NSABA,"13,921"
BUFUMBIRA COUNTY NORTH,NRM,KAMARA JOHN NIZEYIMANA,"14,245"
BUFUMBIRA COUNTY NORTH,DP,BISHAKA BARNABAS RUSHAGO,100
BUFUMBIRA COUNTY NORTH,FDC,BYARUHANGA JOSEPH,126
BUFUMBIRA COUNTY NORTH,INDEPENDENT,BAHANE SILVER NIYIBIZI,"8,786"
BUFUMBIRA COUNTY SOUTH,INDEPENDENT,TERERAHO JOHN WILSON,"17,200"
BUFUMBIRA COUNTY SOUTH,NRM,BUCYANAYANDI TRESS,"21,074"
BUFUMBIRA COUNTY SOUTH,FDC,MUNYANEZA JOSEPH. P. KANYONI,286
BUFUMBIRA COUNTY SOUTH,INDEPENDENT,SABITI BERNARD,597
CHUA COUNTY,DP,KIBUOTA OJOK JOHANAN OLWENY,803
CHUA COUNTY,UFA,PACOTO RICHARD,627
CHUA COUNTY,INDEPENDENT,ATURU ABRAHAM,"5,862"
CHUA COUNTY,INDEPENDENT,OMONA KIZITO,348
CHUA COUNTY,NRM,ORYEM HENRY OKELLO,"19,356"
CHUA COUNTY,INDEPENDENT,OBALLIM HENRY RACTO,558
CHUA COUNTY,UPC,OKELLO-OKELLO JOHN LIVINGSTONE,"14,047"
CHUA COUNTY,PPD,LUKWIYA WEBSTER CHARLES,283
CHUA COUNTY,FDC,LAKWO MILTON,"4,575"
